slug;rubrik_quelle;typ
cash-flow-management;Cash Flow Management;software
chatbot;Chatbot;breit
cloud-content-collaboration;Cloud Content Collaboration;software
cloud-data-security;Cloud Data Security;software
cloud-erp;Cloud ERP;software
cloud-security;Cloud Security;software
cloud-web-hosting;Cloud Web Hosting;software
collaboration;Collaboration;breit
community-management;Community Management;software
consent-management-platform-cmp;Consent Management Platform CMP;software
content-creation;Content Creation;software
content-management-systems-cms;Content Management Systems CMS;software
content-marketing;Content Marketing;software
content-recommendation;Content Recommendation;software
contract-analytics;Contract Analytics;software
contract-management;Contract Management;software
conversation-intelligence;Conversation Intelligence;software
conversational-intelligence;Conversational Intelligence;software
conversational-marketing;Conversational Marketing;software
conversion-optimization;Conversion Optimization;software
conversion-tracking;Conversion Tracking;software
core-hr;Core HR;software
corporate-learning-management-systems;Corporate Learning Management Systems;software
corporate-social-responsibility-csr;Corporate Social Responsibility CSR;software
corporate-sustainability-reporting-directive-csrd;Corporate Sustainability Reporting Directive CSRD;software
corporate-tax;Corporate Tax;software
corporate-wellness;Corporate Wellness;software
course-authoring;Course Authoring;software
cross-channel-advertising;Cross Channel Advertising;software
crypto-accounting;Crypto Accounting;software
customer-communications-management;Customer Communications Management;software
customer-data-platforms-cdp;Customer Data Platforms CDP;software
customer-engagement-plattform-cep;Customer Engagement Plattform CEP;software
customer-journey-analytics;Customer Journey Analytics;software
customer-journey-mapping;Customer Journey Mapping;software
customer-service;Customer Service;software
customer-success;Customer Success;software
cyber-security-beratung;Cyber Security Beratung;dienstleister
daw;DAW;software
data-analytics-beratung;Data Analytics Beratung;dienstleister
data-cloud;Data Cloud;software
data-governance;Data Governance;software
data-management-platforms-dmp;Data Management Platforms DMP;software
data-storage;Data Storage;software
data-visualization;Data Visualization;software
data-warehouse;Data Warehouse;software
datenschutz-management;Datenschutz Management;software
design;Design;breit
desk-booking;Desk Booking;software
diagramming;Diagramming;software
dienstleister-erp;Dienstleister ERP;software
digital-accessibility-tools;Digital Accessibility Tools;software
digital-asset-management;Digital Asset Management;software
digital-business-card;Digital Business Card;software
digital-experience-plattform-dxp;Digital Experience Plattform DXP;software
digital-learning-plattform;Digital Learning Plattform;software
digital-process-automation-dpa;Digital Process Automation DPA;software
digital-rights-management-drm;Digital Rights Management DRM;software
digital-sales-room;Digital Sales Room;software
digital-shelf-analytics-dsa;Digital Shelf Analytics DSA;software
direct-mail-automation;Direct Mail Automation;software
distribution;Distribution;breit
diversity-recruiting;Diversity Recruiting;software
dokumentenmanagement;Dokumentenmanagement;software
domain-registration;Domain Registration;software
donor-management;Donor Management;software
drawing;Drawing;breit
dropshipping;Dropshipping;software
e-commerce-analytics;E Commerce Analytics;software
e-commerce-personalization;E Commerce Personalization;software
e-commerce-plattformen-shopsysteme;E Commerce Plattformen Shopsysteme;software
e-commerce-services;E Commerce Services;dienstleister
e-commerce-tools;E Commerce Tools;software
e-invoice;E Invoice;software
e-mail;E Mail;breit
e-mail-deliverability;E Mail Deliverability;software
e-signature;E Signature;software
erp-consultancies;ERP Consultancies;dienstleister
erp-systems;ERP Systems;software
einkauf;Einkauf;breit
elearning-content;Elearning Content;software
email-marketing;Email Marketing;software
email-signature;Email Signature;software
email-template-builder;Email Template Builder;software
employee-benefits;Employee Benefits;software
employee-communications;Employee Communications;software
employee-engagement;Employee Engagement;software
employee-scheduling;Employee Scheduling;software
employer-branding;Employer Branding;software
endpoint-detection-response-edr;Endpoint Detection Response EDR;software
endpoint-management;Endpoint Management;software
endpoint-protection-platforms;Endpoint Protection Platforms;software
enterprise-content-management-ecm;Enterprise Content Management ECM;software
enterprise-information-archiving;Enterprise Information Archiving;software
enterprise-legal-management-elm;Enterprise Legal Management ELM;software
enterprise-search-software;Enterprise Search Software;software
entity-management;Entity Management;software
environmental-social-and-governance-esg-reporting;Environmental Social And Governance ESG Reporting;software
event-management;Event Management;software
expense-management;Expense Management;software
experience-management;Experience Management;software
facility-management;Facility Management;software
fensterbau-fassadenbau-erp;Fensterbau Fassadenbau ERP;software
field-sales;Field Sales;software
financial-analytics;Financial Analytics;software
firewall;Firewall;breit
fleet-management;Fleet Management;software
fleet-tracking;Fleet Tracking;software
freelance-platforms;Freelance Platforms;software
freelance-tax;Freelance Tax;software
frontend-management-platforms;Frontend Management Platforms;software
fundraising;Fundraising;software
funnel-builder;Funnel Builder;software
grc-tools;GRC Tools;software
gamification;Gamification;breit
gastronomy;Gastronomy;breit
generative-engine-optimization-geo;Generative Engine Optimization GEO;software
google-ads-agencies;Google Ads Agencies;dienstleister
governance-risk-compliance;Governance Risk Compliance;software
graphic-design;Graphic Design;software
grosshandel-erp;Grosshandel ERP;software
hr-analytics;HR Analytics;software
hr-business-partner;HR Business Partner;dienstleister
hr-management;HR Management;software
hr-service-delivery;HR Service Delivery;software
hr-workflow-management;HR Workflow Management;software
handwerk-erp;Handwerk ERP;software
handwerkersoftware;Handwerkersoftware;software
headless-cms;Headless CMS;software
heatmap;Heatmap;breit
helpdesk;Helpdesk;breit
human-resource-management-systems;Human Resource Management Systems;software
it-asset-management;IT Asset Management;software
it-dienstleister-erp;IT Dienstleister ERP;software
it-risk-management;IT Risk Management;software
it-service-management-itsm;IT Service Management ITSM;software
it-services;IT Services;dienstleister
inbound-call-tracking;Inbound Call Tracking;software
influencer-marketing;Influencer Marketing;software
influencer-marketing-agencies;Influencer Marketing Agencies;dienstleister
installment-payment-and-buy-now-pay-later-bnpl;Installment Payment And Buy Now Pay Later BNPL;software
instant-messaging;Instant Messaging;software
integration-brokerage;Integration Brokerage;software
intelligent-document-processing-idp;Intelligent Document Processing IDP;software
inventory-management;Inventory Management;software
invoice-management;Invoice Management;software
ipaas;iPaaS;software
ki-beratung;KI Beratung;dienstleister
ki-text-generator;KI Text Generator;software
kanzleisoftware;Kanzleisoftware;software
kassensysteme;Kassensysteme;software
keyword;Keyword;breit
keyword-mapping;Keyword Mapping;software
keyword-monitoring;Keyword Monitoring;software
keyword-rank-tracking;Keyword Rank Tracking;software
keyword-research;Keyword Research;software
kunststoffverarbeitung-erp;Kunststoffverarbeitung ERP;software
lager-logistik-erp;Lager Logistik ERP;software
landing-page-builders;Landing Page Builders;software
lead-capture;Lead Capture;software
lead-generation;Lead Generation;software
lead-intelligence;Lead Intelligence;software
learning-experience-platforms-lxp;Learning Experience Platforms LXP;software
learning-management-systems;Learning Management Systems;software
lebensmittelindustrie-erp;Lebensmittelindustrie ERP;software
legal-document-management;Legal Document Management;software
lieferkettensorgfaltspflichtengesetz-csddd;Lieferkettensorgfaltspflichtengesetz CSDDD;software
linkbuilding;Linkbuilding;software
linkedin-automation;LinkedIn Automation;software
live-chat;Live Chat;software
live-stream;Live Stream;software
local-marketing;Local Marketing;software
local-seo;Local SEO;software
logistics-intelligence;Logistics Intelligence;software
lohnabrechnungsprogramme;Lohnabrechnungsprogramme;software
loyalty-management;Loyalty Management;software
machine-learning;Machine Learning;software
managed-hosting;Managed Hosting;software
market-intelligence;Market Intelligence;software
marketing-analytics;Marketing Analytics;software
marketing-attribution;Marketing Attribution;software
marketing-automation;Marketing Automation;software
marketing-operations-platforms;Marketing Operations Platforms;software
marketing-platforms;Marketing Platforms;software
marketing-resource-management;Marketing Resource Management;software
marktplatz;Marktplatz;breit
maschinenbau-anlagenbau-erp;Maschinenbau Anlagenbau ERP;software
media-monitoring;Media Monitoring;software
medizintechnik-erp;Medizintechnik ERP;software
meeting-management;Meeting Management;software
mentoring;Mentoring;dienstleister
mind-mapping;Mind Mapping;software
mobile-development-platforms;Mobile Development Platforms;software
mobile-device-management-mdm;Mobile Device Management MDM;software
mobile-marketing;Mobile Marketing;software
mobile-wallet-service;Mobile Wallet Service;software
multichannel-retail;Multichannel Retail;software
natural-language-understanding-nlu;Natural Language Understanding NLU;software
network-security;Network Security;software
no-code-development-platform;No Code Development Platform;software
nonprofit-crm;Nonprofit CRM;software
okr;OKR;software
office-suites;Office Suites;software
onboarding;Onboarding;breit
online-marketing-services;Online Marketing Services;dienstleister
online-proofing;Online Proofing;software
online-reputation-management;Online Reputation Management;software
online-verkaufsplattform;Online Verkaufsplattform;software
onlineshop-buchhaltung;Onlineshop Buchhaltung;software
onpage;Onpage;breit
onsite-search;Onsite Search;software
optical-character-recognition-ocr;Optical Character Recognition OCR;software
order-management;Order Management;software
organigramm;Organigramm;software
other-conversion-optimization;Other Conversion Optimization;software
p2c;P2C;software
pc-backup;PC Backup;software
pdf-editor;PDF Editor;software
pagespeed;Pagespeed;software
partner-management;Partner Management;software
passwortmanagement;Passwortmanagement;software
payment;Payment;breit
payment-method;Payment Method;software
performance-marketing-agenturen;Performance Marketing Agenturen;dienstleister
pharma-erp;Pharma ERP;software
photo-editing;Photo Editing;software
photo-management;Photo Management;software
podcast;Podcast;breit
policy-management;Policy Management;software
predictive-analytics;Predictive Analytics;software
presentation;Presentation;breit
press-release-distribution;Press Release Distribution;software
pricing;Pricing;breit
print-marketing;Print Marketing;software
print-on-demand;Print On Demand;software
private-affiliate-networks;Private Affiliate Networks;software
process-mining;Process Mining;software
product-analytics;Product Analytics;software
product-data-management-pdm;Product Data Management PDM;software
product-feed-management;Product Feed Management;software
product-information-management-pim;Product Information Management PIM;software
product-management;Product Management;software
produktion-fertigung-erp;Produktion Fertigung ERP;software
project-collaboration;Project Collaboration;software
project-management;Project Management;software
project-time-tracking;Project Time Tracking;software
prozessmanagement;Prozessmanagement;software
public-affiliate-networks;Public Affiliate Networks;software
public-relations-pr;Public Relations PR;software
publisher-ad-management;Publisher Ad Management;software
push-notification;Push Notification;software
qr-code-generator;QR Code Generator;software
recruiting;Recruiting;breit
recruiting-automation;Recruiting Automation;software
recruitment-marketing;Recruitment Marketing;software
recruitment-platforms;Recruitment Platforms;software
relational-databases;Relational Databases;software
remote-desktop;Remote Desktop;software
remote-monitoring-management-rmm;Remote Monitoring Management RMM;software
retargeting;Retargeting;software
retrieval-augmented-generation;Retrieval Augmented Generation;software
returns-management;Returns Management;software
revenue-operations-intelligence-ro-i;Revenue Operations Intelligence RO I;software
review-management;Review Management;software
risk-management;Risk Management;software
seo;SEO;breit
seo-agencies;SEO Agencies;dienstleister
seo-analysis;SEO Analysis;software
seo-audit;SEO Audit;software
seo-browser-plugins;SEO Browser Plugins;software
seo-competitor-analysis;SEO Competitor Analysis;software
seo-content;SEO Content;software
seo-reporting;SEO Reporting;software
seo-suites;SEO Suites;software
saas-operations-management;Saas Operations Management;software
saas-spend-management;Saas Spend Management;software
sales;Sales;breit
sales-analytics;Sales Analytics;software
sales-coaching;Sales Coaching;dienstleister
sales-compensation;Sales Compensation;software
sales-enablement;Sales Enablement;software
sales-engagement;Sales Engagement;software
sales-intelligence;Sales Intelligence;software
sales-performance-management;Sales Performance Management;software
sales-platforms;Sales Platforms;software
sales-tax-and-vat-compliance;Sales Tax And VAT Compliance;software
search-engine-advertising;Search Engine Advertising;software
secure-email-gateway;Secure Email Gateway;software
sentiment-analysis;Sentiment Analysis;software
serp-overlap;Serp Overlap;software
service-desk;Service Desk;software
shipping;Shipping;software
shopify-agencies;Shopify Agencies;dienstleister
social-customer-service;Social Customer Service;software
social-intranet;Social Intranet;software
social-media-advertising;Social Media Advertising;software
social-media-agenturen;Social Media Agenturen;dienstleister
social-media-analyse;Social Media Analyse;software
social-media-engagement;Social Media Engagement;software
social-media-listening;Social Media Listening;software
social-media-management;Social Media Management;software
social-media-marketing;Social Media Marketing;software
social-media-monitoring;Social Media Monitoring;software
social-media-planung;Social Media Planung;software
social-media-suites;Social Media Suites;software
software-testing;Software Testing;software
spend-management;Spend Management;software
start-up-erp;Start Up ERP;software
steuerberater;Steuerberater;dienstleister
strategic-planning-and-execution;Strategic Planning And Execution;software
subscription-management;Subscription Management;software
supplier-relationship-management;Supplier Relationship Management;software
supply-chain-business-networks;Supply Chain Business Networks;software
supply-chain-cost-to-serve-analytics;Supply Chain Cost To Serve Analytics;software
supply-chain-logistik;Supply Chain Logistik;software
supply-chain-management;Supply Chain Management;software
supply-chain-planning;Supply Chain Planning;software
supply-chain-suites;Supply Chain Suites;software
supply-chain-visibility;Supply Chain Visibility;software
survey;Survey;breit
sustainability-management;Sustainability Management;software
tag-management;Tag Management;software
talent-assessment;Talent Assessment;software
talent-management;Talent Management;software
task-management;Task Management;software
technical-seo;Technical SEO;software
text-to-speech;Text To Speech;software
time-attendance;Time Attendance;software
time-tracking;Time Tracking;software
tracking;Tracking;breit
training-management-systems;Training Management Systems;software
translation;Translation;breit
travel-management;Travel Management;software
unternehmensberatungen;Unternehmensberatungen;dienstleister
user-generated-content;User Generated Content;software
vector-graphics;Vector Graphics;software
vereins-management;Vereins Management;software
video-advertising;Video Advertising;software
video-communications;Video Communications;software
video-conferencing;Video Conferencing;software
video-editing;Video Editing;software
video-hosting;Video Hosting;software
video-youtube-seo;Video YouTube SEO;software
virtual-event-platforms;Virtual Event Platforms;software
virtual-mailbox;Virtual Mailbox;software
virtual-private-network-vpn;Virtual Private Network VPN;software
virtual-workspaces;Virtual Workspaces;software
visitor-identification;Visitor Identification;software
voip;VoIP;software
wdf-idf;WDF IDF;software
warehouse-management;Warehouse Management;software
warenkorb;Warenkorb;software
web-acceleration;Web Acceleration;software
web-analytics;Web Analytics;software
web-content-management;Web Content Management;software
webdesign;Webdesign;breit
webdesign-services;Webdesign Services;dienstleister
webhosting;Webhosting;breit
webinar;Webinar;software
website-builder;Website Builder;software
website-monitoring;Website Monitoring;software
website-personalization;Website Personalization;software
website-security;Website Security;software
whatsapp-marketing;WhatsApp Marketing;software
whatsapp-recruiting;WhatsApp Recruiting;software
whistleblowing;Whistleblowing;software
whiteboard;Whiteboard;breit
wireframing;Wireframing;software
wissensmanagement;Wissensmanagement;software
wordpress-hosting;WordPress Hosting;software
workflow-management;Workflow Management;software
workforce-management;Workforce Management;software
workforce-planning;Workforce Planning;software
workplace-management;Workplace Management;software
zahlungsdienstleister;Zahlungsdienstleister;breit
